"Story","Title","Result","Date","Stability","Duration (s)"
"Enter the application","user enter the application with their correct credentials","SUCCESS","2023-10-08T21:30:00.1836876-05:00[America/Bogota]","0.0","20.64"
"register on the page","user registers on the page by entering their data","PENDING","2023-10-08T16:27:32.0668661-05:00[America/Bogota]","0.0","0.55"
"register on the page","user registers on the page by entering their data","SUCCESS","2023-10-10T18:39:01.9295524-05:00[America/Bogota]","0.0","23.92"
"Perform a flight search","user performs a travel search to stop his trip","PENDING","2023-10-15T09:54:33.1594016-05:00[America/Bogota]","0.0","0.36"
"Perform a flight search","user performs a travel search to stop his trip","ERROR","2023-10-15T10:01:31.8074699-05:00[America/Bogota]","0.0","16.84"
